"","treatment","theft","communication","subject","group","period","profit","totalprofit","e","type","group1_id","invest","sum_invest","sum_invest_sq","surplus_value","surplus_share","profit_private","profit1","coop_index","group2_id","sum_invest_g1","sum_invest_g1_sq","sum_invest_g2","surplus_loss","surplus_loss_per","assigned","points","points_assigned","profit2","points_received","points_received_loss","gender","age","gpa"
"1",1,1,1,111101,1111,1,156.25,156.25,50,1,4,50,115,13225,359.375,156.25,0,156.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.1",1,1,1,111101,1111,2,143.75,300,50,1,4,50,125,15625,359.375,143.75,0,143.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.2",1,1,1,111101,1111,3,131.25,431.25,50,1,4,50,135,18225,354.375,131.25,0,131.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.3",1,1,1,111101,1111,4,118.75,550,50,1,4,50,145,21025,344.375,118.75,0,118.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.4",1,1,1,111101,1111,5,121.25,671.25,50,1,4,50,143,20449,346.775,121.25,0,121.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.5",1,1,1,111101,1111,6,156.25,827.5,50,1,4,50,115,13225,359.375,156.25,0,156.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.6",1,1,1,111101,1111,7,100,927.5,50,1,4,50,160,25600,320,100,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.7",1,1,1,111101,1111,8,121.25,1048.75,50,1,4,50,143,20449,346.775,121.25,0,121.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.8",1,1,1,111101,1111,9,92.5,1141.25,50,1,4,50,166,27556,307.1,92.5,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.9",1,1,1,111101,1111,10,102.5,1243.75,50,1,4,50,158,24964,323.9,102.5,0,102.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.10",1,1,1,111101,1111,11,100,1343.75,50,1,4,50,160,25600,320,100,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.11",1,1,1,111101,1111,12,143.75,1487.5,50,1,4,50,125,15625,359.375,143.75,0,143.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.12",1,1,1,111101,1111,13,112.5,1600,50,1,4,50,150,22500,337.5,112.5,0,112.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.13",1,1,1,111101,1111,14,106.25,1706.25,50,1,4,50,155,24025,329.375,106.25,0,106.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"1.14",1,1,1,111101,1111,15,68.75,1775,50,1,4,50,185,34225,254.375,68.75,0,68.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",20,2.9
"2",1,1,1,111102,1111,1,60.625,60.625,50,1,3,5,115,13225,359.375,15.625,45,60.625,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.1",1,1,1,111102,1111,2,87.5,148.125,50,1,3,20,125,15625,359.375,57.5,30,87.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.2",1,1,1,111102,1111,3,74.375,222.5,50,1,3,15,135,18225,354.375,39.375,35,74.375,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.3",1,1,1,111102,1111,4,91.25,313.75,50,1,3,30,145,21025,344.375,71.25,20,91.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.4",1,1,1,111102,1111,5,89.9,403.65,50,1,3,28,143,20449,346.775,67.9,22,89.9,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.5",1,1,1,111102,1111,6,71.25,474.9,50,1,3,10,115,13225,359.375,31.25,40,71.25,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.6",1,1,1,111102,1111,7,100,574.9,50,1,3,50,160,25600,320,100,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.7",1,1,1,111102,1111,8,118.4,693.3,50,1,3,48,143,20449,346.775,116.4,2,118.4,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.8",1,1,1,111102,1111,9,89.1,782.4,50,1,3,46,166,27556,307.1,85.1,4,89.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.9",1,1,1,111102,1111,10,100.4,882.8,50,1,3,48,158,24964,323.9,98.4,2,100.4,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.10",1,1,1,111102,1111,11,80,962.8,50,1,3,30,160,25600,320,60,20,80,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.11",1,1,1,111102,1111,12,96.875,1059.675,50,1,3,25,125,15625,359.375,71.875,25,96.875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.12",1,1,1,111102,1111,13,81.25,1140.925,50,1,3,25,150,22500,337.5,56.25,25,81.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.13",1,1,1,111102,1111,14,78.125,1219.05,50,1,3,25,155,24025,329.375,53.125,25,78.125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"2.14",1,1,1,111102,1111,15,68.75,1287.8,50,1,3,50,185,34225,254.375,68.75,0,68.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",21,3.5
"3",1,1,1,111103,1111,1,113.75,113.75,50,1,1,30,115,13225,359.375,93.75,20,113.75,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.1",1,1,1,111103,1111,2,106.25,220,50,1,1,30,125,15625,359.375,86.25,20,106.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.2",1,1,1,111103,1111,3,106.875,326.875,50,1,1,35,135,18225,354.375,91.875,15,106.875,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.3",1,1,1,111103,1111,4,98.125,425,50,1,1,35,145,21025,344.375,83.125,15,98.125,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.4",1,1,1,111103,1111,5,92.75,517.75,50,1,1,30,143,20449,346.775,72.75,20,92.75,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.5",1,1,1,111103,1111,6,113.75,631.5,50,1,1,30,115,13225,359.375,93.75,20,113.75,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.6",1,1,1,111103,1111,7,85,716.5,50,1,1,35,160,25600,320,70,15,85,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.7",1,1,1,111103,1111,8,85.625,802.125,50,1,1,25,143,20449,346.775,60.625,25,85.625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.8",1,1,1,111103,1111,9,75.5,877.625,50,1,1,30,166,27556,307.1,55.5,20,75.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.9",1,1,1,111103,1111,10,81.5,959.125,50,1,1,30,158,24964,323.9,61.5,20,81.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.10",1,1,1,111103,1111,11,85,1044.125,50,1,1,35,160,25600,320,70,15,85,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.11",1,1,1,111103,1111,12,59.375,1103.5,50,1,1,5,125,15625,359.375,14.375,45,59.375,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.12",1,1,1,111103,1111,13,87.5,1191,50,1,1,30,150,22500,337.5,67.5,20,87.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.13",1,1,1,111103,1111,14,95,1286,50,1,1,40,155,24025,329.375,85,10,95,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"3.14",1,1,1,111103,1111,15,65,1351,50,1,1,40,185,34225,254.375,55,10,65,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",21,3.4
"4",1,1,1,111104,1111,1,113.75,113.75,50,1,2,30,115,13225,359.375,93.75,20,113.75,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.1",1,1,1,111104,1111,2,96.875,210.625,50,1,2,25,125,15625,359.375,71.875,25,96.875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.2",1,1,1,111104,1111,3,106.875,317.5,50,1,2,35,135,18225,354.375,91.875,15,106.875,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.3",1,1,1,111104,1111,4,91.25,408.75,50,1,2,30,145,21025,344.375,71.25,20,91.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.4",1,1,1,111104,1111,5,99.875,508.625,50,1,2,35,143,20449,346.775,84.875,15,99.875,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.5",1,1,1,111104,1111,6,103.125,611.75,50,1,2,25,115,13225,359.375,78.125,25,103.125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.6",1,1,1,111104,1111,7,75,686.75,50,1,2,25,160,25600,320,50,25,75,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.7",1,1,1,111104,1111,8,78.5,765.25,50,1,2,20,143,20449,346.775,48.5,30,78.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.8",1,1,1,111104,1111,9,84,849.25,50,1,2,40,166,27556,307.1,74,10,84,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.9",1,1,1,111104,1111,10,81.5,930.75,50,1,2,30,158,24964,323.9,61.5,20,81.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.10",1,1,1,111104,1111,11,95,1025.75,50,1,2,45,160,25600,320,90,5,95,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.11",1,1,1,111104,1111,12,134.375,1160.125,50,1,2,45,125,15625,359.375,129.375,5,134.375,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.12",1,1,1,111104,1111,13,106.25,1266.375,50,1,2,45,150,22500,337.5,101.25,5,106.25,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.13",1,1,1,111104,1111,14,95,1361.375,50,1,2,40,155,24025,329.375,85,10,95,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"4.14",1,1,1,111104,1111,15,66.875,1428.25,50,1,2,45,185,34225,254.375,61.875,5,66.875,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",23,2.2
"5",1,1,1,111205,1112,1,85,85,50,1,4,35,160,25600,320,70,15,85,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",22,3
"5.1",1,1,1,111205,1112,2,95,180,50,1,4,45,160,25600,320,90,5,95,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",22,3
"5.2",1,1,1,111205,1112,3,112.4,292.4,50,1,4,48,148,21904,340.4,110.4,2,112.4,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",22,3
"5.3",1,1,1,111205,1112,4,81.25,373.65,50,1,4,50,175,30625,284.375,81.25,0,81.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",22,3
"5.4",1,1,1,111205,1112,5,102.5,476.15,50,1,4,35,140,19600,350,87.5,15,102.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",22,3
